image_path,filename,label,label_id,original_split,is_corrupt,width,height,channels,aspect_ratio,blur_score,brightness,contrast,sha256,phash
data/raw/car_damage_severity/data3a/training/01-minor/0001.JPEG,0001.JPEG,minor,0,training,False,233,217,3,1.0737,1276.28,125.66,56.13,54f1d3fadcea8213f8561d0e3055bcdc469794c45cca0a7c4f7d4be4bd5f4063,daa85a542a36f5a5
data/raw/car_damage_severity/data3a/training/01-minor/0002.JPEG,0002.JPEG,minor,0,training,False,259,194,3,1.3351,1442.26,127.1,57.31,404a81859ccc53186be6339c93d50bd905b048b8ec9b8441e7d6fddb3ad965e6,86a2786c37bdf111
data/raw/car_damage_severity/data3a/training/01-minor/0003.JPEG,0003.JPEG,minor,0,training,False,290,174,3,1.6667,1858.47,118.32,52.31,42729fb0fef7230f6c1f5727ff3c0e18c330cd5e64f3771d9037ad102d88603e,8dd53533303dc3f0
data/raw/car_damage_severity/data3a/training/01-minor/0004.JPEG,0004.JPEG,minor,0,training,False,231,218,3,1.0596,1066.24,87.93,72.36,6a284af6382042cec1fcc6eb2604e1ad9109c97a762ad7ae33b3997611500033,d9b62e492982ce6e
data/raw/car_damage_severity/data3a/training/01-minor/0005.JPEG,0005.JPEG,minor,0,training,False,259,194,3,1.3351,712.86,88.95,63.92,4b9f1bc35ba42b49d134027956bbe5fdd1ddca9ed6ea9ece954b6a3a5edc1296,9be365dd94c4d822
data/raw/car_damage_severity/data3a/training/01-minor/0006.JPEG,0006.JPEG,minor,0,training,False,98,121,3,0.8099,1427.49,79.07,49.79,a41a0f1bdee26c79b9c6257dad6d985207ad03bdc7ea6612f388654d23a878d2,d6d8a535262a329f
data/raw/car_damage_severity/data3a/training/01-minor/0007.JPEG,0007.JPEG,minor,0,training,False,267,189,3,1.4127,703.07,124.85,59.11,418239c44e9bf5ffae6bcb8eb72db5fa9bed53956d3b8f4a0f4bd87f55398c4c,df931629b9a288e9
data/raw/car_damage_severity/data3a/training/01-minor/0008.JPEG,0008.JPEG,minor,0,training,False,275,183,3,1.5027,1954.48,73.61,58.75,9f8534fa6a9ca150dff8742258e22321f9d40e46807d42f1419d94da8fc6006a,83d631e24c8d8fcd
data/raw/car_damage_severity/data3a/training/01-minor/0009.JPEG,0009.JPEG,minor,0,training,False,275,183,3,1.5027,1550.62,149.5,75.15,25430a356b892cf99bedc5b4190f7de6cc48df6afbabbcdc53570c93405722b1,e4e622c0f7209bde
data/raw/car_damage_severity/data3a/training/01-minor/0010.JPEG,0010.JPEG,minor,0,training,False,259,194,3,1.3351,935.02,85.3,65.04,3af0bb9602b361653b7245f13501b738a89d87631ec4f4c51ac95683fe3dbc7b,b3a01c5f63584e73
