image_path,filename,label,label_id,sha256,width,height,aspect_ratio,blur_score,brightness,contrast,split
data/raw/car_damage_severity/data3a/training/01-minor/0001.JPEG,0001.JPEG,minor,0,54f1d3fadcea8213f8561d0e3055bcdc469794c45cca0a7c4f7d4be4bd5f4063,233,217,1.0737,1276.28,125.66,56.13,train
data/raw/car_damage_severity/data3a/training/01-minor/0003.JPEG,0003.JPEG,minor,0,42729fb0fef7230f6c1f5727ff3c0e18c330cd5e64f3771d9037ad102d88603e,290,174,1.6667,1858.47,118.32,52.31,train
data/raw/car_damage_severity/data3a/training/01-minor/0006.JPEG,0006.JPEG,minor,0,a41a0f1bdee26c79b9c6257dad6d985207ad03bdc7ea6612f388654d23a878d2,98,121,0.8099,1427.49,79.07,49.79,train
data/raw/car_damage_severity/data3a/training/01-minor/0008.JPEG,0008.JPEG,minor,0,9f8534fa6a9ca150dff8742258e22321f9d40e46807d42f1419d94da8fc6006a,275,183,1.5027,1954.48,73.61,58.75,train
data/raw/car_damage_severity/data3a/training/01-minor/0009.JPEG,0009.JPEG,minor,0,25430a356b892cf99bedc5b4190f7de6cc48df6afbabbcdc53570c93405722b1,275,183,1.5027,1550.62,149.5,75.15,train
data/raw/car_damage_severity/data3a/training/01-minor/0010.JPEG,0010.JPEG,minor,0,3af0bb9602b361653b7245f13501b738a89d87631ec4f4c51ac95683fe3dbc7b,259,194,1.3351,935.02,85.3,65.04,train
data/raw/car_damage_severity/data3a/training/01-minor/0011.JPEG,0011.JPEG,minor,0,53376e52def565e3e295e16d9e829e154fe228c6da530a5bfbb45f7d270b8d3d,275,183,1.5027,1169.67,143.69,56.66,train
data/raw/car_damage_severity/data3a/training/01-minor/0013.JPEG,0013.JPEG,minor,0,d8034ade0f10d3079740f01ec0349996960c7469bc276a9b87aec155abc33734,296,170,1.7412,1079.7,121.92,54.11,train
data/raw/car_damage_severity/data3a/training/01-minor/0014.JPEG,0014.JPEG,minor,0,e0d9d47793e0785aecd7508b9f554ee854b98ef5077ec03fbf5be328c3941ac7,275,183,1.5027,1127.63,117.29,47.61,train
data/raw/car_damage_severity/data3a/training/01-minor/0015.JPEG,0015.JPEG,minor,0,3aa8aa79fe7337da3a80f54b2ffe0ccfa1294240a0082851bf65fa8ceef50085,263,192,1.3698,794.68,133.96,73.74,train
data/raw/car_damage_severity/data3a/training/01-minor/0016.JPEG,0016.JPEG,minor,0,d59ccbfc77c288288b32595b11ed1a6994aa9d742b65b307de7f0582faa756a8,290,174,1.6667,1080.63,112.56,75.42,train
data/raw/car_damage_severity/data3a/training/01-minor/0017.JPEG,0017.JPEG,minor,0,167ee124f0a956f2dd6415b1e27015f7dca4adf82dfefc3f2aa66e50931e67e9,260,194,1.3402,1833.71,98.9,56.82,train
data/raw/car_damage_severity/data3a/training/01-minor/0018.JPEG,0018.JPEG,minor,0,0f355f94306c00446905f0b27ad21ed21faebb1953c0ba9b83761ebe18d03e4d,275,183,1.5027,2392.96,108.78,49.3,train
data/raw/car_damage_severity/data3a/training/01-minor/0020.JPEG,0020.JPEG,minor,0,eb4b7ca6d2ead67fce25901654e01e9623168d02ecd663773a1de3aac843b724,300,168,1.7857,1085.7,101.67,64.52,train
data/raw/car_damage_severity/data3a/training/01-minor/0021.JPEG,0021.JPEG,minor,0,f2de93aea1fc9d0c65537e8e713fa469cddd0d1842d7c3f03b638b1883d0d877,299,168,1.7798,711.22,66.66,43.71,train
data/raw/car_damage_severity/data3a/training/01-minor/0022.JPEG,0022.JPEG,minor,0,22c8a926af61fb477e6e982549e1df113d06cf237031e78ab08b2697725ddbcd,275,184,1.4946,1745.53,76.05,61.43,train
data/raw/car_damage_severity/data3a/training/01-minor/0024.JPEG,0024.JPEG,minor,0,8dc0df77bda15ab6eef48cf680e6c8b2570bacf31a3bf5559adf6700c844ba1b,199,136,1.4632,5729.72,97.43,66.39,train
data/raw/car_damage_severity/data3a/training/01-minor/0025.JPEG,0025.JPEG,minor,0,c6ef83fee3033b49202f0c196dbc35af25ea331792dd9cc11008ca20c7f44cea,218,157,1.3885,1706.55,111.98,48.29,train
data/raw/car_damage_severity/data3a/training/01-minor/0026.JPEG,0026.JPEG,minor,0,3d759589dc3577550f223a0ebc5b96b16d9517d458c616069776b3262c528640,259,194,1.3351,4527.47,88.94,69.76,train
data/raw/car_damage_severity/data3a/training/01-minor/0029.JPEG,0029.JPEG,minor,0,b87b072594343bac765b9988694a17d6ce473acb1af1b1f5e7384f43176c2230,259,194,1.3351,722.41,123.82,66.6,train
data/raw/car_damage_severity/data3a/training/01-minor/0031.JPEG,0031.JPEG,minor,0,7b7b1b634d6baa3ce6c942168469d9b68df3322595d4cf0322fdfb69de06b6d5,279,181,1.5414,1706.94,95.17,54.72,train
data/raw/car_damage_severity/data3a/training/01-minor/0034.JPEG,0034.JPEG,minor,0,dde6fc1456e3ce9078bbff76ec8d2d2fa03c4c1a41fd1eb451241cfd0e3323e0,275,183,1.5027,2450.34,122.29,58.7,train
data/raw/car_damage_severity/data3a/training/01-minor/0035.jpeg,0035.jpeg,minor,0,27e908cc6a5b9999fc7b0cacec42f93a9a59576e4b72927205c9939ff4a4e934,275,183,1.5027,2711.82,103.94,58.28,train
data/raw/car_damage_severity/data3a/training/01-minor/0036.JPEG,0036.JPEG,minor,0,b82d41a9771f279246d229b61df7cca489373a00395b71f18418669af8fe0882,266,189,1.4074,948.15,185.78,43.49,train
data/raw/car_damage_severity/data3a/training/01-minor/0037.JPEG,0037.JPEG,minor,0,3a7d1d6a3bed4da3a675e091975074c2957fb1fba96445dd3b9d34c0125e50ba,300,168,1.7857,1170.57,119.23,55.08,train
data/raw/car_damage_severity/data3a/training/01-minor/0040.JPEG,0040.JPEG,minor,0,13272e0a802a896c10f82c4f58fbfafcb117163d88410ae67cc6ff3ed517162e,269,188,1.4309,1409.14,170.81,47.19,train
data/raw/car_damage_severity/data3a/training/01-minor/0042.JPEG,0042.JPEG,minor,0,a92341b5ff0e173d847495a3f7ce1760cc4752d9d5b8f874a3dadde0fb18e775,275,183,1.5027,736.3,200.36,46.23,train
data/raw/car_damage_severity/data3a/training/01-minor/0043.JPEG,0043.JPEG,minor,0,7c7b55f904f324454f4d6a9196dc0fe3371d4215ce2645c9c42eb4b0b52466c1,259,194,1.3351,4976.81,96.68,67.17,train
data/raw/car_damage_severity/data3a/training/01-minor/0047.JPEG,0047.JPEG,minor,0,4b31c96a465a3126feabe872977b582dcb95276f5701466c8e2f6165c312dcdf,274,184,1.4891,3221.48,110.52,65.84,train
data/raw/car_damage_severity/data3a/training/01-minor/0048.JPEG,0048.JPEG,minor,0,298db71585f78b044322bf427277896481f892cbc9d185dd889d08520ad8d4e5,227,222,1.0225,1714.77,112.16,79.17,train
data/raw/car_damage_severity/data3a/training/01-minor/0049.JPEG,0049.JPEG,minor,0,d12f7006dc604ff027fa08a001c495ace661f994402f74b1efc2435085e29198,260,194,1.3402,846.4,102.32,52.58,train
